,ndcItem,ndc9,ndc10,rxcui,splSetIdItem
0,72288030078,72288-300,72288-300-78,198440,00146b91-008d-4b16-95b0-6077f98821be
2,71020001616,71020-016,71020-016-16,1046593,00179db3-5a76-4724-a848-28e71eb580a6
4,66658020490,66658-204,66658-204-90,1790317,00307f42-748d-4227-8c6f-ed5f0a89ae0a
5,41250004338,41250-043,41250-043-38,1431703,003e9099-86ee-46a4-a399-6de53d8f2ae3
6,62332006310,62332-063,62332-063-10,314214,0044f1d7-613c-4611-8481-13032c8cb390
11,62332006410,62332-064,62332-064-10,312835,0044f1d7-613c-4611-8481-13032c8cb390
16,62332006510,62332-065,62332-065-10,314215,0044f1d7-613c-4611-8481-13032c8cb390
21,62332006610,62332-066,62332-066-10,312836,0044f1d7-613c-4611-8481-13032c8cb390
26,55700022105,55700-221,55700-221-05,992447,004c4371-e4dc-4d79-8b05-aa2efea49043
34,78206014201,78206-142,78206-142-01,213322,007b4644-e0e7-4863-9ae3-fe09676b3f5f
36,78206014301,78206-143,78206-143-01,828537,007b4644-e0e7-4863-9ae3-fe09676b3f5f
38,68083014325,68083-143,68083-143-25,1807516,00946db3-d6c5-4534-a870-1ec6e63eda43
40,68083014410,68083-144,68083-144-10,1807513,00946db3-d6c5-4534-a870-1ec6e63eda43
42,70700026230,70700-262,70700-262-30,596843,00a574e0-bd03-deea-9f85-b108f78982ba
43,70700026305,70700-263,70700-263-05,311277,00a574e0-bd03-deea-9f85-b108f78982ba
46,49035063509,49035-635,49035-635-09,204442,00b7fc71-8cf0-4c12-a479-146408f7f91b
47,11673036871,11673-368,11673-368-71,849574,00bd8490-f280-4336-b13d-0e11c0bf4586
52,45963043864,45963-438,45963-438-64,755470,00c42c5c-d19e-4130-aa08-a8bbd47d3e5b
53,36800005705,36800-057,36800-057-05,204442,00d33273-e8c7-4d40-8e6f-a980f746fff2
54,00378965132,0378-9651,0378-9651-32,284008,00dc284f-fd96-423b-bb8f-b90ee13439bf
56,63629543200,63629-5432,63629-5432-0,856999,00f1e7e6-4f94-4bf4-a726-0b4ffbf6d1b1
66,55700093230,55700-932,55700-932-30,1745091,00fb3aa3-04e2-42fd-8c23-ea63c237ba81
67,72288060334,72288-603,72288-603-34,1369842,0100f86e-257f-4197-9849-3c4429cdf0f2
69,61314035501,61314-355,61314-355-01,314238,0104ffe4-013d-4afa-996d-dcba4f08e93d
71,69509000230,69509-002,69509-002-30,238910,011c6a04-a489-41a5-ad2f-8ec281e07933
72,71205059230,71205-592,71205-592-30,197499,01337f79-4b3d-4749-a82b-8d56c1aec179
75,71335067301,71335-0673,71335-0673-1,197322,0136565c-52ba-4ffd-b6a0-4c90bb5b547f
81,00615841339,0615-8413,0615-8413-39,856519,013a485a-4227-46ae-b19f-c550302fcb96
82,00615841739,0615-8417,0615-8417-39,856448,013a485a-4227-46ae-b19f-c550302fcb96
83,53942029986,53942-299,53942-299-86,1100924,0162bc02-9c93-4f15-883c-68794c92e64d
84,70000043401,70000-0434,70000-0434-1,314216,0163d372-222e-4a8d-a5cb-5a7af9a7068c
85,71335006300,71335-0063,71335-0063-0,857005,016b3c9e-b7e4-455b-9482-61714aea2b14
95,71335038500,71335-0385,71335-0385-0,856999,016b3c9e-b7e4-455b-9482-61714aea2b14
105,71205023905,71205-239,71205-239-05,312615,016d65c3-fff2-4e0c-9025-e2083cfa6a1f
118,55700057904,55700-579,55700-579-04,904880,01713321-a1e1-4d62-96f2-26179335a12b
119,67457097850,67457-978,67457-978-50,261265,018525b1-e37d-4ff2-9dc3-36b3d90ac3e0
120,71335127201,71335-1272,71335-1272-1,311893,0186328f-3eb7-4407-bf9e-8007d08ebe7b
122,49035058919,49035-589,49035-589-19,199047,018b02e8-1005-4736-a4fc-962881f52adf
124,71610064460,71610-644,71610-644-60,197805,018feb6f-3936-4322-a6e4-035bc302e3ac
127,71610064560,71610-645,71610-645-60,197806,018feb6f-3936-4322-a6e4-035bc302e3ac
130,71610064660,71610-646,71610-646-60,197807,018feb6f-3936-4322-a6e4-035bc302e3ac
133,71922010530,71922-105,71922-105-30,1992043,0192ccf9-1715-4e23-a6bf-8bd838cd8b0d
134,67091027228,67091-272,67091-272-28,1359350,01b03c7e-6c4e-43aa-8480-aff1c2688f7f
136,69745006530,69745-065,69745-065-30,238910,01b907e6-795f-4382-aaf7-f0f384deb8b8
137,68400010815,68400-108,68400-108-15,656838,01d48cbb-fbd6-477f-81ce-1e388718a431
138,68084002111,68084-021,68084-021-11,242679,01e46f58-8bda-4ff3-ab21-57d5b540d440
140,61748002501,61748-025,61748-025-01,197682,01e8e8ee-b19f-4b3f-a140-9c7391393e1c
141,42043016001,42043-160,42043-160-01,260218,01f6690c-1410-42ad-8eb3-e7df32eab3ba
143,42043016101,42043-161,42043-161-01,205324,01f6690c-1410-42ad-8eb3-e7df32eab3ba
146,71205087700,71205-877,71205-877-00,197443,0215da3f-13a0-400d-ac2d-20c839bd89ef
155,71205087800,71205-878,71205-878-00,197444,0215da3f-13a0-400d-ac2d-20c839bd89ef
164,71205087900,71205-879,71205-879-00,197445,0215da3f-13a0-400d-ac2d-20c839bd89ef
173,51293083197,51293-831,51293-831-97,2101899,024b9f0b-42f0-42dd-ac2b-b46e15e45440
175,71205038430,71205-384,71205-384-30,485440,024f833e-c20c-46a2-971b-3f2a716b1678
178,63981069901,63981-699,63981-699-01,308297,02e0b16b-7244-4819-8f0a-76dfad3e4d2b
